False Positive Rate,True Positive Rate,Thresholds
0.0,0.0,inf
0.0,0.0625,1.0
0.0,0.125,0.99992967
0.0,0.25,0.9998903
0.0,0.625,0.9964371
0.058823529411764705,0.625,0.98455393
0.058823529411764705,0.6875,0.948112
0.11764705882352941,0.75,0.93819356
0.11764705882352941,0.875,0.0059631285
0.23529411764705882,0.875,0.0016399933
0.23529411764705882,0.9375,0.0007429891
0.35294117647058826,0.9375,0.00019127678
0.4117647058823529,1.0,0.00017221484
0.5882352941176471,1.0,3.2342192e-05
0.7647058823529411,1.0,1.2841968e-05
1.0,1.0,2.0437203e-06
